Date,HH_price,storage_surplus,HDD,LNG_exports_Bcf,production_Bcf,consumption_Bcf
1990-01-01,,,745.855,,,
1990-02-01,,,672.049,,,
1990-03-01,,,551.679,,,
1990-04-01,,,339.296,,,
1990-05-01,,,202.101,,,
1990-06-01,,,33.176,,,
1990-07-01,,,7.416,,,
1990-08-01,,,12.5,,,
1990-09-01,,,63.214,,,
1990-10-01,,,259.806,,,
1990-11-01,,,480.747,,,
1990-12-01,,,809.949,,,
1991-01-01,,,936.842,,,
1991-02-01,,,650.085,,,
1991-03-01,,,584.222,,,
1991-04-01,,,306.338,,,
1991-05-01,,,114.145,,,
1991-06-01,,,34.949,,,
1991-07-01,,,6.979,,,
1991-08-01,,,9.68,,,
1991-09-01,,,75.678,,,
1991-10-01,,,254.446,,,
1991-11-01,,,604.489,,,
1991-12-01,,,767.021,,,
1992-01-01,,,863.694,,,
1992-02-01,,,655.81,,,
1992-03-01,,,618.354,,,
1992-04-01,,,360.032,,,
1992-05-01,,,165.441,,,
1992-06-01,,,50.601,,,
1992-07-01,,,17.758,,,
1992-08-01,,,28.649,,,
1992-09-01,,,83.09,,,
1992-10-01,,,314.604,,,
1992-11-01,,,583.007,,,
1992-12-01,,,840.594,,,
1993-01-01,,,872.406,,,
1993-02-01,,,838.287,,,
1993-03-01,,,675.334,,,
1993-04-01,,,385.716,,,
1993-05-01,,,143.439,,,
1993-06-01,,,43.902,,,
1993-07-01,,,14.288,,,
1993-08-01,,,12.349,,,
1993-09-01,,,97.092,,,
1993-10-01,,,315.632,,,
1993-11-01,,,597.72,,,
1993-12-01,,,838.538,,,
1994-01-01,,,1037.669,,,
1994-02-01,,,821.665,,,
1994-03-01,,,604.226,,,
1994-04-01,,,308.999,,,
1994-05-01,,,187.886,,,
1994-06-01,,,24.499,,,
1994-07-01,,,7.199,,,
1994-08-01,,,19.91,,,
1994-09-01,,,71.585,,,
1994-10-01,,,283.121,,,
1994-11-01,,,501.62,,,
1994-12-01,,,738.326,,,
1995-01-01,,,857.037,,,
1995-02-01,,,755.033,,,
1995-03-01,,,568.042,,,
1995-04-01,,,390.161,,,
1995-05-01,,,190.868,,,
1995-06-01,,,36.15,,,
1995-07-01,,,6.282,,,
1995-08-01,,,8.805,,,
1995-09-01,,,84.023,,,
1995-10-01,,,244.404,,,
1995-11-01,,,614.482,,,
1995-12-01,,,882.083,,,
1996-01-01,,,951.915,,,
1996-02-01,,,749.165,,,
1996-03-01,,,718.002,,,
1996-04-01,,,371.688,,,
1996-05-01,,,177.854,,,
1996-06-01,,,30.419,,,
1996-07-01,,,10.538,,,
1996-08-01,,,11.283,,,
1996-09-01,,,79.265,,,
1996-10-01,,,287.339,,,
1996-11-01,,,640.937,,,
1996-12-01,,,770.606,,,
1997-01-01,3.451,,934.742,,1617.923,
1997-02-01,2.151,,677.338,,1465.907,
1997-03-01,1.89,,557.195,,1627.602,
1997-04-01,2.033,,416.523,,1551.268,
1997-05-01,2.248,,206.537,,1610.527,
1997-06-01,2.203,,36.924,,1525.325,
1997-07-01,2.19,,9.767,,1584.526,
1997-08-01,2.491,,18.753,,1581.52,
1997-09-01,2.883,,68.438,,1545.194,
1997-10-01,3.074,,284.444,,1597.116,
1997-11-01,3.008,,604.252,,1547.069,
1997-12-01,2.348,,811.51,,1575.412,
1998-01-01,2.091,,769.371,,1658.885,
1998-02-01,2.229,,630.74,,1476.58,
1998-03-01,2.242,,603.079,,1648.339,
1998-04-01,2.428,,344.178,,1591.701,
1998-05-01,2.141,,128.242,,1650.538,
1998-06-01,2.167,,47.307,,1582.144,
1998-07-01,2.167,,5.353,,1611.386,
1998-08-01,1.851,,7.745,,1622.594,
1998-09-01,2.018,,37.886,,1473.001,
1998-10-01,1.912,,254.4,,1589.442,
1998-11-01,2.123,,494.876,,1539.977,
1998-12-01,1.722,,726.114,,1578.976,
1999-01-01,1.849,,857.206,,1625.336,
